Price,Locality,Type_of_Property,Subtype_of_Property,State_of_the_Building,Number_of_Rooms,Fully_Equipped_Kitchen,Province,Municipality,Price_Group,Price_Group_Per_Region
215000.0,1000,APARTMENT,APARTMENT,GOOD,1.0,False,Brussel,Brussel,200000-350000,Brussel_200000-350000
345000.0,9150,APARTMENT,APARTMENT,GOOD,2.0,False,Oost-Vlaanderen,Rupelmonde,200000-350000,Oost-Vlaanderen_200000-350000
230000.0,8434,APARTMENT,APARTMENT,TO_RENOVATE,1.0,False,West-Vlaanderen,Westende,200000-350000,West-Vlaanderen_200000-350000
95000.0,4684,HOUSE,BUNGALOW,GOOD,2.0,False,Luik,Haccourt,0-100000,Luik_0-100000
425000.0,2200,HOUSE,HOUSE,GOOD,3.0,False,Antwerpen,Noorderwijk,350000-550000,Antwerpen_350000-550000
688000.0,9840,HOUSE,HOUSE,GOOD,3.0,True,Oost-Vlaanderen,Zevergem,550000-750000,Oost-Vlaanderen_550000-750000
364000.0,3380,HOUSE,HOUSE,GOOD,2.0,False,Vlaams-Brabant,Glabbeek,350000-550000,Vlaams-Brabant_350000-550000
249000.0,8310,APARTMENT,GROUND_FLOOR,AS_NEW,2.0,False,West-Vlaanderen,Sint-Kruis,200000-350000,West-Vlaanderen_200000-350000
570000.0,2060,HOUSE,APARTMENT_BLOCK,JUST_RENOVATED,3.0,False,Antwerpen,Antwerpen,550000-750000,Antwerpen_550000-750000
698000.0,1060,APARTMENT,APARTMENT,TO_RENOVATE,4.0,False,Brussel,Sint-gillis,550000-750000,Brussel_550000-750000
295000.0,8310,HOUSE,HOUSE,GOOD,3.0,False,West-Vlaanderen,Sint-Kruis,200000-350000,West-Vlaanderen_200000-350000
339000.0,9150,HOUSE,HOUSE,AS_NEW,3.0,True,Oost-Vlaanderen,Rupelmonde,200000-350000,Oost-Vlaanderen_200000-350000
285000.0,5060,HOUSE,HOUSE,JUST_RENOVATED,3.0,True,Namen,Velaine-Sur-Sambre,200000-350000,Namen_200000-350000
280000.0,4041,HOUSE,HOUSE,GOOD,3.0,False,Luik,Vottem,200000-350000,Luik_200000-350000
340000.0,7011,HOUSE,MANSION,TO_RENOVATE,3.0,False,Henegouwen,Ghlin,200000-350000,Henegouwen_200000-350000
255000.0,2000,APARTMENT,APARTMENT,TO_BE_DONE_UP,2.0,False,Antwerpen,Antwerpen,200000-350000,Antwerpen_200000-350000
250000.0,1160,APARTMENT,APARTMENT,GOOD,2.0,False,Brussel,Oudergem,200000-350000,Brussel_200000-350000
430200.0,9860,HOUSE,HOUSE,GOOD,4.0,False,Oost-Vlaanderen,Scheldewindeke,350000-550000,Oost-Vlaanderen_350000-550000
265000.0,4280,HOUSE,BUNGALOW,GOOD,2.0,False,Luik,Wansin,200000-350000,Luik_200000-350000
270000.0,3190,HOUSE,HOUSE,TO_RENOVATE,3.0,True,Vlaams-Brabant,Boortmeerbeek,200000-350000,Vlaams-Brabant_200000-350000
396353.0,9190,HOUSE,HOUSE,AS_NEW,3.0,False,Oost-Vlaanderen,Stekene,350000-550000,Oost-Vlaanderen_350000-550000
450000.0,8400,APARTMENT,APARTMENT,GOOD,2.0,False,West-Vlaanderen,Zandvoorde,350000-550000,West-Vlaanderen_350000-550000
289000.0,8790,APARTMENT,APARTMENT,TO_BE_DONE_UP,2.0,False,West-Vlaanderen,Waregem,200000-350000,West-Vlaanderen_200000-350000
299000.0,8450,APARTMENT,APARTMENT,GOOD,4.0,False,West-Vlaanderen,Bredene,200000-350000,West-Vlaanderen_200000-350000
590000.0,8300,APARTMENT,APARTMENT,GOOD,2.0,True,West-Vlaanderen,Westkapelle,550000-750000,West-Vlaanderen_550000-750000
400000.0,9000,APARTMENT,APARTMENT,GOOD,3.0,True,Oost-Vlaanderen,Gent,350000-550000,Oost-Vlaanderen_350000-550000
