Price,Locality,Type_of_Property,Subtype_of_Property,State_of_the_Building,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Terrace,Garden,Surface_area_plot_of_land,Number_of_Facades,Swimming_Pool,Lift
179000,4890,0,0,1,1,107.0,0,0.0,0.0,0.0,2.0,0.0,0.0
595000,9931,1,2,1,3,187.0,0,1.0,0.0,538.0,4.0,0.0,0.0
189000,1831,0,0,1,1,67.0,0,0.0,0.0,0.0,2.0,0.0,1.0
495000,1090,1,2,3,2,176.0,0,1.0,0.0,158.0,2.0,0.0,0.0
260000,7000,0,0,1,2,87.0,0,1.0,0.0,0.0,3.0,0.0,1.0
189000,9050,0,0,1,1,74.0,0,0.0,0.0,0.0,2.0,0.0,1.0
289000,2640,0,0,0,2,95.0,0,1.0,0.0,0.0,3.0,0.0,0.0
255000,2600,0,0,0,3,88.0,0,1.0,0.0,0.0,2.0,0.0,1.0
189000,9600,1,2,1,3,240.0,0,1.0,0.0,260.0,2.0,0.0,0.0
110000,9700,1,2,4,4,100.0,0,1.0,0.0,180.0,2.0,0.0,0.0
179000,5100,0,0,0,1,60.0,0,0.0,0.0,0.0,2.0,0.0,0.0
315000,1080,0,8,1,3,136.0,0,1.0,0.0,0.0,3.0,0.0,1.0
249000,9620,1,2,4,4,212.0,0,1.0,0.0,310.0,2.0,0.0,0.0
402380,2490,0,8,1,3,126.0,0,1.0,0.0,0.0,3.0,0.0,1.0
180000,1030,0,19,1,1,41.0,0,0.0,0.0,0.0,2.0,0.0,1.0
425000,1080,1,2,4,4,166.0,0,1.0,0.0,63.0,2.0,0.0,0.0
580000,8300,0,0,0,2,67.0,0,0.0,0.0,0.0,2.0,0.0,1.0
699000,8300,0,16,0,4,129.0,0,1.0,0.0,0.0,2.0,0.0,0.0
265000,4500,1,6,1,4,222.0,0,0.0,0.0,89.0,2.0,0.0,0.0
675000,6700,1,2,1,4,217.0,0,0.0,0.0,387.0,3.0,0.0,0.0
210000,8430,0,0,2,1,40.0,0,0.0,0.0,0.0,2.0,0.0,1.0
445000,8300,0,0,1,2,77.0,0,1.0,0.0,0.0,2.0,0.0,1.0
314000,2830,1,2,1,3,189.0,0,0.0,0.0,341.0,2.0,0.0,0.0
169000,2100,0,0,1,1,68.0,0,0.0,0.0,0.0,2.0,0.0,1.0
405000,8300,0,0,0,1,45.0,0,0.0,0.0,0.0,2.0,0.0,0.0
245000,2910,0,0,1,2,71.0,0,1.0,0.0,0.0,2.0,0.0,0.0
299000,2640,1,2,4,4,139.0,0,0.0,0.0,70.0,2.0,0.0,0.0
199000,8450,0,0,0,1,64.0,0,1.0,0.0,0.0,2.0,0.0,1.0
229000,8370,0,0,1,1,67.0,0,0.0,0.0,0.0,2.0,0.0,1.0
399000,9000,1,2,0,3,200.0,0,1.0,0.0,483.0,4.0,0.0,0.0
425000,1200,0,8,1,3,145.0,0,1.0,0.0,0.0,3.0,0.0,1.0
135000,8560,1,2,4,2,140.0,0,0.0,0.0,464.0,3.0,0.0,0.0
360000,1081,0,0,1,3,110.0,0,1.0,0.0,0.0,2.0,0.0,1.0
520000,8500,0,0,0,3,112.0,0,1.0,0.0,0.0,2.0,0.0,1.0
220000,4102,0,0,1,2,99.0,0,1.0,0.0,0.0,2.0,0.0,1.0
135000,8400,0,0,1,2,67.0,0,1.0,0.0,0.0,2.0,0.0,1.0
299000,8560,0,0,0,2,128.0,0,1.0,0.0,0.0,2.0,0.0,0.0
189000,2300,0,0,1,3,109.0,0,1.0,0.0,0.0,2.0,0.0,1.0
165000,9340,1,2,4,2,94.0,0,0.0,0.0,0.0,4.0,0.0,0.0
179000,4020,1,2,3,4,134.0,0,1.0,0.0,69.0,2.0,0.0,0.0
295000,2000,0,0,1,2,83.0,0,1.0,0.0,0.0,2.0,0.0,1.0
265000,4041,1,2,1,3,104.0,0,1.0,0.0,225.0,3.0,0.0,0.0
320000,7300,0,4,0,3,212.0,0,1.0,0.0,0.0,2.0,0.0,1.0
210000,9000,0,0,3,1,49.0,0,0.0,0.0,0.0,2.0,0.0,0.0
179000,6040,1,2,1,3,257.0,0,0.0,0.0,143.0,3.0,0.0,0.0
195000,1120,0,0,3,1,60.0,0,1.0,0.0,0.0,2.0,0.0,1.0
215000,8870,1,2,4,4,194.0,0,0.0,0.0,289.0,3.0,0.0,0.0
318000,9880,1,2,1,3,284.0,0,0.0,0.0,286.0,3.0,0.0,0.0
199000,9230,0,0,4,2,146.0,0,1.0,0.0,0.0,2.0,0.0,0.0
215000,2350,0,9,1,1,78.0,0,1.0,0.0,0.0,2.0,0.0,1.0
125000,6200,1,2,1,2,110.0,0,0.0,0.0,90.0,3.0,0.0,0.0
399000,9050,1,2,0,4,180.0,0,0.0,0.0,96.0,2.0,0.0,0.0
165000,1500,0,0,3,1,54.0,0,1.0,0.0,0.0,2.0,0.0,1.0
175000,4040,1,2,1,4,157.0,0,1.0,0.0,168.0,3.0,0.0,0.0
345000,7500,1,1,1,2,160.0,0,1.0,0.0,0.0,2.0,0.0,0.0
419000,8400,0,0,1,2,79.0,0,1.0,0.0,0.0,2.0,0.0,0.0
220000,4480,1,1,3,3,215.0,0,1.0,0.0,150.0,3.0,0.0,0.0
229000,1800,0,0,1,2,90.0,0,1.0,0.0,0.0,2.0,0.0,0.0
295000,6791,0,0,1,2,88.0,0,1.0,0.0,0.0,2.0,0.0,1.0
189000,6760,0,0,1,2,90.0,0,0.0,0.0,0.0,2.0,0.0,1.0
89000,4000,0,19,1,1,32.0,0,1.0,0.0,0.0,2.0,0.0,1.0
159000,9500,0,0,1,1,63.0,0,0.0,0.0,0.0,2.0,0.0,0.0
375000,8800,1,2,1,4,150.0,0,0.0,0.0,216.0,3.0,0.0,0.0
235000,8770,1,2,1,3,150.0,0,1.0,0.0,146.0,2.0,0.0,0.0
224000,2880,0,0,0,2,98.0,0,0.0,0.0,0.0,2.0,0.0,1.0
575000,2018,0,0,2,3,200.0,0,1.0,0.0,0.0,2.0,0.0,1.0
215000,7800,0,0,0,2,83.0,0,0.0,0.0,0.0,1.0,0.0,1.0
265000,1030,0,20,1,2,96.0,0,0.0,0.0,0.0,2.0,0.0,0.0
229269,8800,0,0,1,2,83.0,0,1.0,0.0,0.0,2.0,0.0,1.0
239000,1000,0,0,1,3,95.0,0,1.0,0.0,0.0,2.0,0.0,1.0
140000,8200,0,3,1,1,18.0,0,0.0,0.0,0.0,2.0,0.0,1.0
275000,9100,0,0,1,4,160.0,0,1.0,0.0,0.0,2.0,0.0,1.0
157000,2650,0,20,3,1,70.0,0,0.0,0.0,0.0,2.0,0.0,1.0
352000,2900,0,16,1,3,131.0,0,1.0,0.0,0.0,2.0,0.0,0.0
230000,1030,0,0,1,1,65.0,0,1.0,0.0,0.0,2.0,0.0,1.0
245000,2200,1,2,1,3,154.0,0,1.0,0.0,167.0,2.0,0.0,0.0
154000,1070,0,0,1,1,46.0,0,1.0,0.0,0.0,2.0,0.0,1.0
375000,1160,1,2,4,2,140.0,0,1.0,0.0,90.0,2.0,0.0,0.0
169000,2235,1,2,4,3,128.0,0,1.0,0.0,0.0,3.0,0.0,0.0
169000,8370,0,0,3,2,75.0,0,0.0,0.0,0.0,2.0,0.0,1.0
69500,8420,0,0,1,1,30.0,0,0.0,0.0,0.0,2.0,0.0,1.0
400000,2018,0,0,1,4,125.0,0,1.0,0.0,0.0,2.0,0.0,1.0
289000,1030,0,0,3,2,98.0,0,1.0,0.0,0.0,2.0,0.0,0.0
214900,2180,0,0,1,2,73.0,0,1.0,0.0,0.0,3.0,0.0,1.0
