Price,Locality,Type_of_Property,Subtype_of_Property,State_of_the_Building,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Terrace,Garden,Surface_area_plot_of_land,Number_of_Facades,Swimming_Pool,Lift
298000,4802,APARTMENT,APARTMENT,AS_NEW,1,88.0,0,1.0,0.0,0.0,2.0,0.0,1.0
125000,6044,HOUSE,HOUSE,GOOD,2,105.0,0,0.0,0.0,0.0,3.0,0.0,0.0
220000,8790,APARTMENT,DUPLEX,GOOD,1,65.0,0,0.0,0.0,0.0,2.0,0.0,1.0
299000,8530,HOUSE,HOUSE,GOOD,2,125.0,0,1.0,0.0,155.0,3.0,0.0,0.0
237500,8820,HOUSE,HOUSE,TO_RENOVATE,3,145.0,0,0.0,0.0,181.0,3.0,0.0,0.0
310000,2000,APARTMENT,APARTMENT,AS_NEW,1,65.0,0,0.0,0.0,0.0,2.0,0.0,1.0
269500,1200,APARTMENT,PENTHOUSE,TO_BE_DONE_UP,2,75.0,0,1.0,0.0,0.0,2.0,0.0,1.0
169000,1190,APARTMENT,APARTMENT,TO_RENOVATE,1,57.0,0,1.0,0.0,0.0,2.0,0.0,0.0
190000,3200,APARTMENT,APARTMENT,GOOD,1,77.0,0,0.0,0.0,0.0,2.0,0.0,1.0
125000,8790,APARTMENT,APARTMENT,GOOD,1,46.0,0,0.0,0.0,0.0,4.0,0.0,0.0
269000,3800,HOUSE,HOUSE,GOOD,2,132.0,0,1.0,0.0,309.0,3.0,0.0,0.0
435000,8660,APARTMENT,APARTMENT,GOOD,2,81.0,0,0.0,0.0,0.0,2.0,0.0,1.0
350000,6760,HOUSE,HOUSE,GOOD,3,154.0,0,0.0,0.0,358.0,3.0,0.0,0.0
360000,9000,APARTMENT,APARTMENT,TO_BE_DONE_UP,2,80.0,0,1.0,0.0,0.0,2.0,0.0,1.0
360000,8730,HOUSE,HOUSE,GOOD,2,124.0,0,0.0,0.0,535.0,3.0,0.0,0.0
285000,7110,HOUSE,MANSION,GOOD,4,260.0,0,1.0,0.0,0.0,4.0,0.0,0.0
189000,4000,APARTMENT,APARTMENT,GOOD,2,99.0,0,1.0,0.0,0.0,2.0,0.0,1.0
319000,2150,APARTMENT,APARTMENT,JUST_RENOVATED,3,102.0,0,0.0,0.0,0.0,2.0,0.0,1.0
